MONTH,DATE,DAY,BLU_SPERM,BLU_EGGS,BLU_NOTHING,RED_SPERM,RED_EGGS,RED_NOTHING,GRN_SPERM,GRN_EGGS,GRN_NOTHING
November,7-Nov-17,3,0,0,0,0,0,0,0,0,0
November,8-Nov-17,4,0,0,7,0,1,19,0,0,27
November,9-Nov-17,5,0,0,7,8,3,9,0,0,27
November,10-Nov-17,6,1,0,6,0,0,20,0,0,27
November,11-Nov-17,7,3,0,4,0,0,20,0,0,27
November,12-Nov-17,8,0,0,7,0,0,20,0,0,27
November,13-Nov-17,9,0,0,7,0,0,20,0,0,27
December,7-Dec-17,3,0,0,6,1,0,14,0,0,15
December,8-Dec-17,4,1,0,5,5,3,7,0,1,14
December,9-Dec-17,5,0,0,6,0,3,12,0,0,15
December,10-Dec-17,6,0,0,6,3,3,9,0,0,15
December,11-Dec-17,7,0,0,6,0,0,15,0,0,15
December,12-Dec-17,8,0,0,6,1,0,14,0,0,15